shortName,drama_type,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
am-letzte-maskebal,comedy,-5,3.8149090602327878,3.804396743800264,0.13872951374888992,0.08542607886670138,0.14197871287812,0.16163087811613025,0.10736148019041507,0.13045824332787073,0.10799173226059529,0.12642336061127715
arnold-der-pfingstmontag,comedy,70,469.7436877598924,543.4111565137955,0.08103857515594788,0.06699988414682741,0.09690457254615628,0.22750203442932931,0.07887740498513975,0.053248002811382526,0.23540250551821834,0.1600270204069985
babette-mach-s-fenster-zue,comedy,-6,48.480298219454056,57.391834545019776,0.15465064076437385,0.08141531642702436,0.17941751201179215,0.17939700620629523,0.044797999577034425,0.05719326130103619,0.16610638207043033,0.1370218816420135
bastian-dr-hans-im-schnokeloch,comedy,36,443.4425962544462,470.7590338445676,0.08377757740125191,0.0683690776503596,0.0848089908140878,0.24422236382989254,0.08471701677245698,0.07214140232333353,0.1860170167302019,0.17594655447841565
bastian-dr-maischter-hett-gewunne,comedy,-10,99.57865282101585,111.455052319814,0.0897795942119195,0.07051395921380539,0.08903259047081619,0.23118644503744917,0.08103658369732994,0.06294360381982511,0.20019234950789347,0.17531487404096122
bastian-e-sportschochzitt,comedy,21,71.33836777767405,78.43686905766815,0.06524697545077339,0.04715140022942848,0.0744630090587641,0.27765540458808674,0.07570491803318692,0.07081447819209873,0.21103229776594848,0.1779315166817132
bastian-e-sportshochzitt,comedy,14,70.99740008746213,77.48532926417724,0.06493166133143657,0.04557223902805774,0.07503787835032373,0.28161695371987405,0.07730236817440168,0.07142504204835834,0.20513917058327233,0.17897468676427564
bastian-hofnarr-heidideldum,tale,10,326.75948704234145,346.83905021785955,0.08599572471433696,0.08127634775695734,0.10444128138206944,0.22097787569859367,0.08725397627928251,0.08916104129357533,0.18147757217029262,0.14941618070489215
bastian-s-gaischtert-im-huss,horreur,-6,32.844794648549644,36.39464070152612,0.1470891735432521,0.08219300681064948,0.11107471184492826,0.2811627641992324,0.07492829500096528,0.090874840107898,0.1367957998425517,0.07588140865052277
bastian-struwelpeter,tale,31,293.76071527546765,314.1560791024872,0.1191042623987355,0.10355993677203446,0.1271052301780722,0.16111097138696986,0.09480776116731507,0.07834089861135354,0.18759309217540318,0.1283778473101161
bi-de-wilde,comedy,3,30.928081722127644,32.899125601617406,0.115244512771547,0.10695037758147191,0.16108326105773632,0.14409160916546357,0.10649579680387594,0.10656951473034526,0.11307832220748364,0.14648660568207628
clemens-a-latzi-visit,comedy,1,122.20271265565293,131.31687151234505,0.08873075121790502,0.07478086885653262,0.10447875019879875,0.22355621352821678,0.0886696641470087,0.08912122113870126,0.20035626646041854,0.13030626445241833
clemens-charlot,comedy,0,104.37246330853839,105.23829919354736,0.10216869565365919,0.07832261696837088,0.1255257677880885,0.1980098599714629,0.10392645508552346,0.07830315833733724,0.1853969720426189,0.12834647415293898
clemens-chrischtowe,tale,-3,57.297948785555775,73.88810648527394,0.04297104643127573,0.030449138585239448,0.06625487243643913,0.2583377353546388,0.06941107667235752,0.04686616457671018,0.32848685734446637,0.15722310859887279
clemens-d-brueder,comedy,59,222.2477228260206,249.31772085482115,0.09601595347429627,0.0595924395973734,0.0810239265870037,0.26286631316729525,0.07391167768050394,0.06333957194364653,0.21392580111048048,0.14932431643940028
clemens-dr-amerikaner,comedy,46,237.87576571978138,246.0075608119572,0.1276113154062127,0.06449914108905536,0.10119452587731223,0.2276405644569649,0.091725240787872,0.07680703703464564,0.19447572006847225,0.11604645527946494
clemens-gift,comedy,43,99.68116053866385,104.83594522976821,0.09251500166570596,0.08468163820535982,0.1309882829851633,0.1933198885137803,0.12066541899578753,0.06264288070592786,0.20674308115981235,0.10844380776846298
d-gsellschaftere,comedy,-12,150.29656338710703,172.27985639556354,0.11191841592988076,0.14703995059242458,0.1287619492175134,0.1491909228890641,0.04643404767148849,0.03943602259191508,0.2680907990689766,0.10912789203873678
d-huslit-vo-dr-frau-suppedunke,comedy,9,90.63282962707756,111.14298067180333,0.1332632159280001,0.13257532458877222,0.17164925087882846,0.1553144812541387,0.05326547870380333,0.051920264378112965,0.19224088461870872,0.10977109964963559
d-milhuser-in-paris,comedy,-2,177.7151238191631,227.69472019743955,0.13237313031790793,0.14814296982355682,0.17744838147969624,0.15326553093980708,0.0488187441698535,0.05071181370186593,0.18308983309684532,0.1061495964704672
d-singstund,comedy,13,161.1464608996926,194.45546416590324,0.15603743936138628,0.10801959266468258,0.1885300784782938,0.17386716917565606,0.028782812041012174,0.03667126826583038,0.19185360690689,0.1162380331062487
d-tante-domino,comedy,-1,40.52291601864413,45.93179094847349,0.15216467081987026,0.0950944478917916,0.17978982548347855,0.13870465848922417,0.09477016860306882,0.044186118320046375,0.1757510707805638,0.11953903961195653
